SysTime,Real_UAV_X,Real_UAV_Y,Real_UAV_Z,Real_Boat_X,Real_Boat_Y,Real_Boat_Z,Real_UAV_VZ,Real_Boat_VZ
1.77485e+09,1.17457,14.5628,2.3984,2.57997,15.4798,0.482555,-2.29757,-3.92975e-06
1.77485e+09,1.15177,14.5938,2.37545,2.58237,15.4942,0.482555,-2.2936,-3.92975e-06
1.77485e+09,1.10693,14.6562,2.32965,2.58462,15.5077,0.467158,-2.28585,-5.78185e-06
1.77485e+09,1.07403,14.7034,2.29541,2.58699,15.5219,0.467158,-2.27985,-5.78185e-06
1.77485e+09,1.04607,14.7445,2.26581,2.58909,15.5345,0.467158,-2.2745,-5.78185e-06
1.77485e+09,1.02077,14.7827,2.23854,2.59108,15.5465,0.467158,-2.26951,-5.78185e-06
1.77485e+09,0.99393,14.8243,2.20907,2.59332,15.5599,0.467158,-2.2642,-5.78185e-06
1.77485e+09,0.983779,14.8403,2.19776,2.59547,15.5728,0.467158,-2.26222,-5.78185e-06
1.77485e+09,0.942246,14.908,2.15033,2.59786,15.5872,0.467157,-2.25449,-5.78185e-06
1.77485e+09,0.919367,14.9468,2.1233,2.59999,15.5999,0.467157,-2.25056,-5.78185e-06
1.77485e+09,0.89171,14.9956,2.08958,2.60212,15.6127,0.44713,-2.2461,-7.60062e-06
1.77485e+09,0.868641,15.0379,2.0604,2.60422,15.6253,0.447129,-2.24254,-7.60062e-06
1.77485e+09,0.848132,15.0771,2.03351,2.60624,15.6374,0.447129,-2.23938,-7.60062e-06
1.77485e+09,0.831646,15.1098,2.01113,2.60839,15.6503,0.447129,-2.23684,-7.60062e-06
1.77485e+09,0.831646,15.1098,2.01113,2.61074,15.6644,0.447129,-2.23684,-7.60062e-06
1.77485e+09,0.784285,15.2113,1.9419,2.61329,15.6798,0.447129,-2.22962,-7.60062e-06
1.77485e+09,0.767568,15.2506,1.91517,2.6153,15.6918,0.447129,-2.22683,-7.60062e-06
1.77485e+09,0.750539,15.2932,1.88624,2.61745,15.7047,0.422628,-2.2237,-9.32416e-06
1.77485e+09,0.735856,15.3325,1.85957,2.61954,15.7172,0.422628,-2.22072,-9.32416e-06
1.77485e+09,0.724403,15.3653,1.83738,2.62164,15.7298,0.422628,-2.2182,-9.32416e-06
1.77485e+09,0.708602,15.4143,1.80413,2.62392,15.7435,0.422627,-2.21443,-9.32416e-06
1.77485e+09,0.694505,15.4633,1.77094,2.62603,15.7562,0.422627,-2.21076,-9.32416e-06
1.77485e+09,0.683707,15.5056,1.74222,2.62821,15.7693,0.422627,-2.2076,-9.32416e-06
1.77485e+09,0.674939,15.5446,1.71575,2.63029,15.7818,0.422627,-2.20471,-9.32416e-06
1.77485e+09,0.666765,15.5868,1.68711,2.63241,15.7944,0.422627,-2.20163,-9.32416e-06
1.77485e+09,0.660464,15.6257,1.66071,2.63442,15.8065,0.393848,-2.19881,-1.0948e-05
1.77485e+09,0.658196,15.6418,1.64971,2.63652,15.8191,0.393848,-2.19764,-1.0948e-05
1.77485e+09,0.650986,15.7095,1.60362,2.63884,15.833,0.393848,-2.1928,-1.0948e-05
